chr,region,ctrl_18w_methy_site_num,chr,region,ccl4_18w_methy_site_num
chr13,45500000,3981,chr13,45500000,4519
chr13,4.6e+07,4386,chr13,4.6e+07,5234
chr13,46500000,3888,chr13,46500000,4276
chr13,4.7e+07,4053,chr13,4.7e+07,4877
chr13,47500000,4287,chr13,47500000,5152
chr13,4.8e+07,3773,chr13,4.8e+07,3894
chr13,48500000,4395,chr13,48500000,4974
chr13,4.9e+07,4352,chr13,4.9e+07,5157
chr13,49500000,3972,chr13,49500000,4709
chr13,5e+07,3364,chr13,5e+07,3809
chr13,50500000,2413,chr13,50500000,2704
chr13,5.1e+07,2614,chr13,5.1e+07,2804
chr13,51500000,4570,chr13,51500000,5138
chr13,5.2e+07,4489,chr13,5.2e+07,5550
chr13,52500000,4156,chr13,52500000,4831
chr13,5.3e+07,4779,chr13,5.3e+07,5949
chr13,53500000,4077,chr13,53500000,4598
chr13,5.4e+07,4372,chr13,5.4e+07,4876
chr13,54500000,4016,chr13,54500000,4813
chr13,5.5e+07,4408,chr13,5.5e+07,5292
chr13,55500000,3866,chr13,55500000,4646
chr13,5.6e+07,4766,chr13,5.6e+07,6306
chr13,56500000,4312,chr13,56500000,5538
chr13,5.7e+07,4355,chr13,5.7e+07,5035
chr13,57500000,4356,chr13,57500000,4865
chr13,5.8e+07,4609,chr13,5.8e+07,5769
chr13,58500000,4963,chr13,58500000,5798
chr13,5.9e+07,4637,chr13,5.9e+07,5620
chr13,59500000,4307,chr13,59500000,5116
chr13,6e+07,4407,chr13,6e+07,5211
chr13,60500000,3487,chr13,60500000,4162
chr13,6.1e+07,3258,chr13,6.1e+07,3966
chr13,61500000,2192,chr13,61500000,2405
chr13,6.2e+07,475,chr13,6.2e+07,536
chr13,62500000,2938,chr13,62500000,3154
chr13,6.3e+07,3321,chr13,6.3e+07,3582
chr13,63500000,3185,chr13,63500000,3550
chr13,6.4e+07,2967,chr13,6.4e+07,3306
chr13,64500000,2362,chr13,64500000,2903
chr13,6.5e+07,1544,chr13,6.5e+07,1682
chr13,65500000,2153,chr13,65500000,2345
chr13,6.6e+07,2077,chr13,6.6e+07,2095
chr13,66500000,1536,chr13,66500000,1537
chr13,6.7e+07,1819,chr13,6.7e+07,1895
chr13,67500000,2424,chr13,67500000,2621
chr13,6.8e+07,2031,chr13,6.8e+07,2252
chr13,68500000,1957,chr13,68500000,2061
chr13,6.9e+07,2387,chr13,6.9e+07,2645
chr13,69500000,2207,chr13,69500000,2505
chr13,7e+07,2856,chr13,7e+07,3696
chr13,70500000,3320,chr13,70500000,3567
chr13,7.1e+07,3919,chr13,7.1e+07,4339
chr13,71500000,3497,chr13,71500000,3794
chr13,7.2e+07,3437,chr13,7.2e+07,3698
chr13,72500000,3360,chr13,72500000,3823
chr13,7.3e+07,3519,chr13,7.3e+07,3938
chr13,73500000,3892,chr13,73500000,4437
chr13,7.4e+07,3931,chr13,7.4e+07,4385
chr13,74500000,3480,chr13,74500000,3770
chr13,7.5e+07,2225,chr13,7.5e+07,2402
chr13,75500000,2146,chr13,75500000,2145
chr13,7.6e+07,2231,chr13,7.6e+07,2312
chr13,76500000,1682,chr13,76500000,1833
chr13,7.7e+07,1808,chr13,7.7e+07,1764
chr13,77500000,1902,chr13,77500000,1994
chr13,7.8e+07,2388,chr13,7.8e+07,2553
chr13,78500000,2883,chr13,78500000,2851
chr13,7.9e+07,2362,chr13,7.9e+07,2299
chr13,79500000,2178,chr13,79500000,2135
chr13,8e+07,1953,chr13,8e+07,1960
chr13,80500000,1994,chr13,80500000,1994
chr13,8.1e+07,2881,chr13,8.1e+07,2977
chr13,81500000,3428,chr13,81500000,3674
chr13,8.2e+07,3661,chr13,8.2e+07,3883
chr13,82500000,2261,chr13,82500000,2303
chr13,8.3e+07,1985,chr13,8.3e+07,1947
chr13,83500000,2468,chr13,83500000,2412
chr13,8.4e+07,3310,chr13,8.4e+07,3307
chr13,84500000,2261,chr13,84500000,2496
chr13,8.5e+07,1823,chr13,8.5e+07,1754
chr13,85500000,1727,chr13,85500000,1834
chr13,8.6e+07,1693,chr13,8.6e+07,1679
chr13,86500000,1533,chr13,86500000,1603
chr13,8.7e+07,1703,chr13,8.7e+07,1690
chr13,87500000,1189,chr13,87500000,1230
chr13,8.8e+07,1745,chr13,8.8e+07,1762
chr13,88500000,1898,chr13,88500000,1848
chr13,8.9e+07,2027,chr13,8.9e+07,2038
chr13,89500000,2009,chr13,89500000,2074
chr13,9e+07,2568,chr13,9e+07,2623
chr13,90500000,2288,chr13,90500000,2319
chr13,9.1e+07,2540,chr13,9.1e+07,2737
chr13,91500000,3696,chr13,91500000,3890
chr13,9.2e+07,3199,chr13,9.2e+07,3473
chr13,92500000,3338,chr13,92500000,3748
chr13,9.3e+07,3898,chr13,9.3e+07,4328
chr13,93500000,3174,chr13,93500000,3607
chr13,9.4e+07,3623,chr13,9.4e+07,4062
chr13,94500000,4821,chr13,94500000,5425
chr13,9.5e+07,4823,chr13,9.5e+07,5499
chr13,95500000,3827,chr13,95500000,4764
chr13,9.6e+07,2928,chr13,9.6e+07,3380
chr13,96500000,3693,chr13,96500000,4049
chr13,9.7e+07,3921,chr13,9.7e+07,4281
chr13,97500000,4858,chr13,97500000,5596
chr13,9.8e+07,4428,chr13,9.8e+07,5266
chr13,98500000,4567,chr13,98500000,5285
chr13,9.9e+07,3872,chr13,9.9e+07,4435
chr13,99500000,4644,chr13,99500000,5246
chr13,1e+08,3560,chr13,1e+08,4038
chr13,100500000,3433,chr13,100500000,3842
chr13,1.01e+08,4367,chr13,1.01e+08,4898
chr13,101500000,3189,chr13,101500000,3508
chr13,1.02e+08,3770,chr13,1.02e+08,4047
chr13,102500000,2628,chr13,102500000,2889
chr13,1.03e+08,3896,chr13,1.03e+08,4368
chr13,103500000,3969,chr13,103500000,4504
chr13,1.04e+08,3590,chr13,1.04e+08,3806
chr13,104500000,3281,chr13,104500000,3550
chr13,1.05e+08,4088,chr13,1.05e+08,4225
chr13,105500000,3159,chr13,105500000,3327
chr13,1.06e+08,2157,chr13,1.06e+08,2121
chr13,106500000,2161,chr13,106500000,2170
chr13,1.07e+08,3082,chr13,1.07e+08,3228
chr13,107500000,4024,chr13,107500000,4388
chr13,1.08e+08,4483,chr13,1.08e+08,5268
chr13,108500000,4005,chr13,108500000,4332
chr13,1.09e+08,2671,chr13,1.09e+08,2772
chr13,109500000,3528,chr13,109500000,3659
chr13,1.1e+08,4118,chr13,1.1e+08,4390
chr13,110500000,3400,chr13,110500000,3832
chr13,1.11e+08,3371,chr13,1.11e+08,3581
chr13,111500000,3322,chr13,111500000,3686
chr13,1.12e+08,4405,chr13,1.12e+08,5131
chr13,112500000,4386,chr13,112500000,5241
chr13,1.13e+08,4514,chr13,1.13e+08,5131
chr13,113500000,4243,chr13,113500000,4593
chr13,1.14e+08,5229,chr13,1.14e+08,5992
chr13,114500000,4771,chr13,114500000,5234
chr13,1.15e+08,3845,chr13,1.15e+08,4231
chr13,115500000,3616,chr13,115500000,3740
chr13,1.16e+08,2496,chr13,1.16e+08,2418
chr13,116500000,2728,chr13,116500000,2703
chr13,1.17e+08,2934,chr13,1.17e+08,3087
chr13,117500000,3391,chr13,117500000,3565
chr13,1.18e+08,2643,chr13,1.18e+08,2660
chr13,118500000,1782,chr13,118500000,1831
chr13,1.19e+08,1884,chr13,1.19e+08,1937
chr13,119500000,2766,chr13,119500000,3002
chr13,1.2e+08,2754,chr13,1.2e+08,3022
chr14,3500000,658,chr14,3500000,697
chr14,4e+06,263,chr14,4e+06,284
chr14,4500000,1206,chr14,4500000,1389
chr14,5e+06,735,chr14,5e+06,812
chr14,5500000,261,chr14,5500000,243
chr14,6e+06,737,chr14,6e+06,783
chr14,6500000,1129,chr14,6500000,1202
chr14,7e+06,1257,chr14,7e+06,1473
chr14,7500000,796,chr14,7500000,814
chr14,8e+06,3022,chr14,8e+06,3435
chr14,8500000,4102,chr14,8500000,4794
chr14,9e+06,2791,chr14,9e+06,2844
chr14,9500000,2422,chr14,9500000,2540
chr14,1e+07,2528,chr14,1e+07,2531
chr14,10500000,2412,chr14,10500000,2552
chr14,1.1e+07,2636,chr14,1.1e+07,2779
chr14,11500000,2982,chr14,11500000,3332
chr14,1.2e+07,4511,chr14,1.2e+07,4873
chr14,12500000,3923,chr14,12500000,4400
chr14,1.3e+07,2796,chr14,1.3e+07,2927
chr14,13500000,2486,chr14,13500000,2649
chr14,1.4e+07,2702,chr14,1.4e+07,2781
chr14,14500000,2904,chr14,14500000,3169
chr14,1.5e+07,2343,chr14,1.5e+07,2509
chr14,15500000,2259,chr14,15500000,2484
chr14,1.6e+07,2103,chr14,1.6e+07,2257
chr14,16500000,2284,chr14,16500000,2364
chr14,1.7e+07,2716,chr14,1.7e+07,2965
chr14,17500000,2479,chr14,17500000,2504
chr14,1.8e+07,2494,chr14,1.8e+07,2767
chr14,18500000,2653,chr14,18500000,2982
chr14,1.9e+07,2336,chr14,1.9e+07,2576
chr14,19500000,2697,chr14,19500000,2993
chr14,2e+07,3352,chr14,2e+07,3828
chr14,20500000,4080,chr14,20500000,4798
chr14,2.1e+07,3751,chr14,2.1e+07,4290
chr14,21500000,3607,chr14,21500000,3933
chr14,2.2e+07,4141,chr14,2.2e+07,4669
chr14,22500000,3899,chr14,22500000,4284
chr14,2.3e+07,3011,chr14,2.3e+07,3373
chr14,23500000,2870,chr14,23500000,3090
chr14,2.4e+07,3616,chr14,2.4e+07,3862
chr14,24500000,3594,chr14,24500000,4283
chr14,2.5e+07,3081,chr14,2.5e+07,3644
chr14,25500000,3813,chr14,25500000,4714
chr14,2.6e+07,3003,chr14,2.6e+07,3624
chr14,26500000,1529,chr14,26500000,1658
chr14,2.7e+07,3541,chr14,2.7e+07,3906
chr14,27500000,3951,chr14,27500000,4582
chr14,2.8e+07,3236,chr14,2.8e+07,3747
chr14,28500000,3268,chr14,28500000,3520
chr14,2.9e+07,2966,chr14,2.9e+07,3292
chr14,29500000,2847,chr14,29500000,3340
chr14,3e+07,4079,chr14,3e+07,4461
chr14,30500000,4548,chr14,30500000,5180
chr14,3.1e+07,3740,chr14,3.1e+07,4522
chr14,31500000,4712,chr14,31500000,5488
chr14,3.2e+07,4211,chr14,3.2e+07,4732
chr14,32500000,4286,chr14,32500000,5094
chr14,3.3e+07,4432,chr14,3.3e+07,5184
chr14,33500000,4083,chr14,33500000,4772
chr14,3.4e+07,4144,chr14,3.4e+07,4723
chr14,34500000,3971,chr14,34500000,4493
chr14,3.5e+07,4052,chr14,3.5e+07,4673
chr14,35500000,2850,chr14,35500000,3110
chr14,3.6e+07,2091,chr14,3.6e+07,2241
chr14,36500000,2117,chr14,36500000,2151
chr14,3.7e+07,3045,chr14,3.7e+07,3170
chr14,37500000,2896,chr14,37500000,3118
chr14,3.8e+07,2195,chr14,3.8e+07,2178
chr14,38500000,2235,chr14,38500000,2185
chr14,3.9e+07,2053,chr14,3.9e+07,1989
chr14,39500000,2328,chr14,39500000,2291
chr14,4e+07,2205,chr14,4e+07,2172
chr14,40500000,2188,chr14,40500000,2185
chr14,4.1e+07,2974,chr14,4.1e+07,3156
chr14,41500000,2486,chr14,41500000,2697
chr14,4.2e+07,1107,chr14,4.2e+07,1184
chr14,42500000,1085,chr14,42500000,1256
chr14,4.3e+07,810,chr14,4.3e+07,936
chr14,43500000,1945,chr14,43500000,1954
chr14,4.4e+07,2253,chr14,4.4e+07,2405
chr14,44500000,2134,chr14,44500000,2269
chr14,4.5e+07,2475,chr14,4.5e+07,2769
chr14,45500000,3811,chr14,45500000,4027
chr14,4.6e+07,3086,chr14,4.6e+07,3579
chr14,46500000,2649,chr14,46500000,3022
chr14,4.7e+07,3672,chr14,4.7e+07,4327
chr14,47500000,3533,chr14,47500000,4015
chr14,4.8e+07,3073,chr14,4.8e+07,3654
chr14,48500000,3583,chr14,48500000,4210
chr14,4.9e+07,3369,chr14,4.9e+07,3989
chr14,49500000,2571,chr14,49500000,2802
chr14,5e+07,1849,chr14,5e+07,1955
chr14,50500000,1553,chr14,50500000,1580
chr14,5.1e+07,1968,chr14,5.1e+07,2352
chr14,51500000,2196,chr14,51500000,2400
chr14,5.2e+07,1496,chr14,5.2e+07,1782
chr14,52500000,2625,chr14,52500000,3061
chr14,5.3e+07,958,chr14,5.3e+07,941
chr14,53500000,552,chr14,53500000,617
chr14,5.4e+07,1454,chr14,5.4e+07,1498
chr14,54500000,2922,chr14,54500000,3731
chr14,5.5e+07,2999,chr14,5.5e+07,4204
chr14,55500000,3912,chr14,55500000,4704
chr14,5.6e+07,4955,chr14,5.6e+07,6067
chr14,56500000,3022,chr14,56500000,3376
chr14,5.7e+07,3664,chr14,5.7e+07,4095
chr14,57500000,4167,chr14,57500000,4675
chr14,5.8e+07,4291,chr14,5.8e+07,5002
chr14,58500000,3556,chr14,58500000,3947
chr14,5.9e+07,2975,chr14,5.9e+07,3166
chr14,59500000,2980,chr14,59500000,3303
chr14,6e+07,4041,chr14,6e+07,4694
chr14,60500000,3900,chr14,60500000,4411
chr14,6.1e+07,4056,chr14,6.1e+07,4895
chr14,61500000,3969,chr14,61500000,4584
chr14,6.2e+07,3599,chr14,6.2e+07,3967
chr14,62500000,3709,chr14,62500000,4129
chr14,6.3e+07,3507,chr14,6.3e+07,3733
chr14,63500000,4373,chr14,63500000,5029
chr14,6.4e+07,3957,chr14,6.4e+07,4677
chr14,64500000,3373,chr14,64500000,4117
chr14,6.5e+07,3624,chr14,6.5e+07,4152
chr14,65500000,4097,chr14,65500000,4818
chr14,6.6e+07,3921,chr14,6.6e+07,4610
chr14,66500000,3660,chr14,66500000,4132
chr14,6.7e+07,3868,chr14,6.7e+07,4435
chr14,67500000,4288,chr14,67500000,4881
chr14,6.8e+07,4319,chr14,6.8e+07,4879
chr14,68500000,2578,chr14,68500000,3107
chr14,6.9e+07,2782,chr14,6.9e+07,2978
chr14,69500000,1751,chr14,69500000,2029
chr14,7e+07,2901,chr14,7e+07,3392
chr14,70500000,3894,chr14,70500000,4701
chr14,7.1e+07,2861,chr14,7.1e+07,3541
chr14,71500000,2103,chr14,71500000,2434
chr14,7.2e+07,2010,chr14,7.2e+07,2117
chr14,72500000,3119,chr14,72500000,3218
chr14,7.3e+07,2840,chr14,7.3e+07,2917
chr14,73500000,4142,chr14,73500000,4542
chr14,7.4e+07,3000,chr14,7.4e+07,3100
chr14,74500000,2230,chr14,74500000,2322
chr14,7.5e+07,4196,chr14,7.5e+07,4848
chr14,75500000,4508,chr14,75500000,5103
chr14,7.6e+07,4565,chr14,7.6e+07,5124
chr14,76500000,4603,chr14,76500000,5334
chr14,7.7e+07,2878,chr14,7.7e+07,3470
chr14,77500000,3062,chr14,77500000,3425
chr14,7.8e+07,3165,chr14,7.8e+07,3790
chr14,78500000,3840,chr14,78500000,4300
chr14,7.9e+07,3959,chr14,7.9e+07,4448
chr14,79500000,4094,chr14,79500000,4686
chr14,8e+07,4200,chr14,8e+07,4698
chr14,80500000,3148,chr14,80500000,3431
chr14,8.1e+07,2574,chr14,8.1e+07,2497
chr14,81500000,2185,chr14,81500000,2029
chr14,8.2e+07,2074,chr14,8.2e+07,1912
chr14,82500000,1957,chr14,82500000,1880
chr14,8.3e+07,2017,chr14,8.3e+07,2095
chr14,83500000,1900,chr14,83500000,1838
chr14,8.4e+07,2148,chr14,8.4e+07,2103
chr14,84500000,2538,chr14,84500000,2471
chr14,8.5e+07,2461,chr14,8.5e+07,2233
chr14,85500000,2441,chr14,85500000,2379
chr14,8.6e+07,2508,chr14,8.6e+07,2387
chr14,86500000,2559,chr14,86500000,2723
chr14,8.7e+07,2596,chr14,8.7e+07,2682
chr14,87500000,2359,chr14,87500000,2526
chr14,8.8e+07,1700,chr14,8.8e+07,1705
chr14,88500000,1334,chr14,88500000,1392
chr14,8.9e+07,1053,chr14,8.9e+07,945
chr14,89500000,1287,chr14,89500000,1288
chr14,9e+07,1223,chr14,9e+07,1239
chr14,90500000,1052,chr14,90500000,1049
chr14,9.1e+07,1311,chr14,9.1e+07,1207
chr14,91500000,1157,chr14,91500000,1126
chr14,9.2e+07,1304,chr14,9.2e+07,1297
chr14,92500000,1175,chr14,92500000,1142
chr14,9.3e+07,1376,chr14,9.3e+07,1351
chr14,93500000,2172,chr14,93500000,2150
chr14,9.4e+07,1992,chr14,9.4e+07,1940
chr14,94500000,1440,chr14,94500000,1423
chr14,9.5e+07,1442,chr14,9.5e+07,1439
chr14,95500000,1357,chr14,95500000,1239
chr14,9.6e+07,1382,chr14,9.6e+07,1391
chr14,96500000,946,chr14,96500000,946
chr14,9.7e+07,1379,chr14,9.7e+07,1281
chr14,97500000,1988,chr14,97500000,1936
chr14,9.8e+07,2816,chr14,9.8e+07,2659
chr14,98500000,3007,chr14,98500000,2913
chr14,9.9e+07,3954,chr14,9.9e+07,4237
chr14,99500000,3956,chr14,99500000,4545
chr14,1e+08,3608,chr14,1e+08,3661
chr14,100500000,3647,chr14,100500000,3796
chr14,1.01e+08,2529,chr14,1.01e+08,2544
chr14,101500000,3182,chr14,101500000,3357
chr14,1.02e+08,4474,chr14,1.02e+08,4915
chr14,102500000,2657,chr14,102500000,2738
chr14,1.03e+08,3359,chr14,1.03e+08,3471
chr14,103500000,4182,chr14,103500000,4328
chr14,1.04e+08,4387,chr14,1.04e+08,4868
chr14,104500000,3737,chr14,104500000,3958
chr14,1.05e+08,3986,chr14,1.05e+08,4084
chr14,105500000,3831,chr14,105500000,4246
chr14,1.06e+08,4202,chr14,1.06e+08,4721
chr14,106500000,2721,chr14,106500000,2864
chr14,1.07e+08,2359,chr14,1.07e+08,2262
chr14,107500000,2199,chr14,107500000,2233
chr14,1.08e+08,2127,chr14,1.08e+08,1981
chr14,108500000,2116,chr14,108500000,1998
chr14,1.09e+08,2379,chr14,1.09e+08,2269
chr14,109500000,2077,chr14,109500000,2023
chr14,1.1e+08,2096,chr14,1.1e+08,2124
chr14,110500000,2267,chr14,110500000,2212
chr14,1.11e+08,2368,chr14,1.11e+08,2273
chr14,111500000,2309,chr14,111500000,2256
chr14,1.12e+08,2475,chr14,1.12e+08,2362
chr14,112500000,1454,chr14,112500000,1404
chr14,1.13e+08,2073,chr14,1.13e+08,1894
chr14,113500000,2358,chr14,113500000,2303
chr14,1.14e+08,2364,chr14,1.14e+08,2270
chr14,114500000,2451,chr14,114500000,2462
chr14,1.15e+08,3190,chr14,1.15e+08,3322
chr14,115500000,3258,chr14,115500000,3335
chr14,1.16e+08,2550,chr14,1.16e+08,2485
chr14,116500000,2671,chr14,116500000,2669
chr14,1.17e+08,2769,chr14,1.17e+08,2841
chr14,117500000,3861,chr14,117500000,3937
chr14,1.18e+08,4767,chr14,1.18e+08,5329
chr14,118500000,5961,chr14,118500000,6800
chr14,1.19e+08,5528,chr14,1.19e+08,6440
chr14,119500000,4094,chr14,119500000,4317
chr14,1.2e+08,4183,chr14,1.2e+08,4399
chr14,120500000,4748,chr14,120500000,5797
chr14,1.21e+08,3940,chr14,1.21e+08,4509
chr14,121500000,4160,chr14,121500000,5042
chr14,1.22e+08,3925,chr14,1.22e+08,4660
chr14,122500000,4556,chr14,122500000,5375
chr14,1.23e+08,3006,chr14,1.23e+08,3256
chr14,123500000,1952,chr14,123500000,1959
chr14,1.24e+08,1911,chr14,1.24e+08,1933
chr14,124500000,1753,chr14,124500000,1702
chr15,3500000,2893,chr15,3500000,3001
chr15,4e+06,2842,chr15,4e+06,3116
chr15,4500000,2956,chr15,4500000,3307
chr15,5e+06,2792,chr15,5e+06,2993
chr15,5500000,3648,chr15,5500000,4121
chr15,6e+06,2842,chr15,6e+06,2892
chr15,6500000,3296,chr15,6500000,3668
chr15,7e+06,4464,chr15,7e+06,5212
chr15,7500000,4606,chr15,7500000,5079
chr15,8e+06,3744,chr15,8e+06,4194
chr15,8500000,4139,chr15,8500000,4562
chr15,9e+06,4329,chr15,9e+06,4787
chr15,9500000,3344,chr15,9500000,3591
chr15,1e+07,2855,chr15,1e+07,2895
chr15,10500000,3450,chr15,10500000,3606
chr15,1.1e+07,4364,chr15,1.1e+07,4881
chr15,11500000,3972,chr15,11500000,4321
chr15,1.2e+07,3999,chr15,1.2e+07,4302
chr15,12500000,4650,chr15,12500000,5374
chr15,1.3e+07,4746,chr15,1.3e+07,5553
chr15,13500000,4038,chr15,13500000,4311
chr15,1.4e+07,2332,chr15,1.4e+07,2359
chr15,14500000,1427,chr15,14500000,1522
chr15,1.5e+07,1810,chr15,1.5e+07,1830
chr15,15500000,2403,chr15,15500000,2374
chr15,1.6e+07,2112,chr15,1.6e+07,2181
chr15,16500000,2134,chr15,16500000,2172
chr15,1.7e+07,2396,chr15,1.7e+07,2400
chr15,17500000,2022,chr15,17500000,1990
chr15,1.8e+07,2364,chr15,1.8e+07,2485
chr15,18500000,2303,chr15,18500000,2136
chr15,1.9e+07,2588,chr15,1.9e+07,2615
chr15,19500000,2156,chr15,19500000,2375
chr15,2e+07,1876,chr15,2e+07,1879
chr15,20500000,1995,chr15,20500000,2068
chr15,2.1e+07,1914,chr15,2.1e+07,1828
chr15,21500000,2386,chr15,21500000,2398
chr15,2.2e+07,1827,chr15,2.2e+07,1873
chr15,22500000,2142,chr15,22500000,2066
chr15,2.3e+07,1972,chr15,2.3e+07,1980
chr15,23500000,2138,chr15,23500000,2097
chr15,2.4e+07,2224,chr15,2.4e+07,2315
chr15,24500000,2491,chr15,24500000,2436
chr15,2.5e+07,2644,chr15,2.5e+07,2722
chr15,25500000,3920,chr15,25500000,4336
chr15,2.6e+07,5417,chr15,2.6e+07,6529
chr15,26500000,2999,chr15,26500000,3262
chr15,2.7e+07,3359,chr15,2.7e+07,3551
chr15,27500000,3679,chr15,27500000,4017
chr15,2.8e+07,5984,chr15,2.8e+07,7287
chr15,28500000,4089,chr15,28500000,4385
chr15,2.9e+07,2324,chr15,2.9e+07,2335
chr15,29500000,2197,chr15,29500000,2282
chr15,3e+07,2370,chr15,3e+07,2387
chr15,30500000,3469,chr15,30500000,3724
chr15,3.1e+07,3681,chr15,3.1e+07,4128
chr15,31500000,4388,chr15,31500000,5165
chr15,3.2e+07,3799,chr15,3.2e+07,4302
chr15,32500000,3580,chr15,32500000,3844
chr15,3.3e+07,2783,chr15,3.3e+07,3066
chr15,33500000,2212,chr15,33500000,2278
chr15,3.4e+07,2161,chr15,3.4e+07,2289
chr15,34500000,3082,chr15,34500000,3507
chr15,3.5e+07,2840,chr15,3.5e+07,3133
chr15,35500000,3223,chr15,35500000,3397
chr15,3.6e+07,2809,chr15,3.6e+07,2882
chr15,36500000,4002,chr15,36500000,4581
chr15,3.7e+07,4348,chr15,3.7e+07,5084
chr15,37500000,4477,chr15,37500000,5197
chr15,3.8e+07,3859,chr15,3.8e+07,4475
chr15,38500000,4056,chr15,38500000,4668
chr15,3.9e+07,2924,chr15,3.9e+07,3482
chr15,39500000,3511,chr15,39500000,3676
chr15,4e+07,3665,chr15,4e+07,4079
chr15,40500000,3378,chr15,40500000,3575
chr15,4.1e+07,3018,chr15,4.1e+07,3047
chr15,41500000,3220,chr15,41500000,3270
chr15,4.2e+07,3405,chr15,4.2e+07,3531
chr15,42500000,2596,chr15,42500000,2701
chr15,4.3e+07,2540,chr15,4.3e+07,2496
chr15,43500000,2760,chr15,43500000,2620
chr15,4.4e+07,2383,chr15,4.4e+07,2415
chr15,44500000,2631,chr15,44500000,2848
chr15,4.5e+07,2675,chr15,4.5e+07,2792
chr15,45500000,1944,chr15,45500000,1964
chr15,4.6e+07,1914,chr15,4.6e+07,1971
chr15,46500000,1782,chr15,46500000,1830
chr15,4.7e+07,1540,chr15,4.7e+07,1630
chr15,47500000,1654,chr15,47500000,1666
chr15,4.8e+07,2029,chr15,4.8e+07,2048
chr15,48500000,1804,chr15,48500000,1772
chr15,4.9e+07,2051,chr15,4.9e+07,2041
chr15,49500000,1787,chr15,49500000,1886
chr15,5e+07,1708,chr15,5e+07,1732
chr15,50500000,1951,chr15,50500000,1935
chr15,5.1e+07,3276,chr15,5.1e+07,3471
chr15,51500000,2746,chr15,51500000,2896
chr15,5.2e+07,4156,chr15,5.2e+07,4499
chr15,52500000,3230,chr15,52500000,3422
chr15,5.3e+07,2795,chr15,5.3e+07,2910
chr15,53500000,4073,chr15,53500000,4406
chr15,5.4e+07,3020,chr15,5.4e+07,3093
chr15,54500000,2692,chr15,54500000,2757
chr15,5.5e+07,3325,chr15,5.5e+07,3696
chr15,55500000,4519,chr15,55500000,4958
chr15,5.6e+07,3640,chr15,5.6e+07,3789
chr15,56500000,2568,chr15,56500000,2744
chr15,5.7e+07,2754,chr15,5.7e+07,2836
chr15,57500000,2444,chr15,57500000,2410
chr15,5.8e+07,4550,chr15,5.8e+07,5300
chr15,58500000,4136,chr15,58500000,4949
chr15,5.9e+07,4993,chr15,5.9e+07,5442
chr15,59500000,4556,chr15,59500000,5301
chr15,6e+07,3882,chr15,6e+07,4638
chr15,60500000,2368,chr15,60500000,2441
chr15,6.1e+07,2759,chr15,6.1e+07,3017
chr15,61500000,2272,chr15,61500000,2420
chr15,6.2e+07,2590,chr15,6.2e+07,2776
chr15,62500000,3287,chr15,62500000,3745
chr15,6.3e+07,2217,chr15,6.3e+07,2239
chr15,63500000,1993,chr15,63500000,2182
chr15,6.4e+07,2582,chr15,6.4e+07,2846
chr15,64500000,4196,chr15,64500000,4735
chr15,6.5e+07,2432,chr15,6.5e+07,2583
chr15,65500000,1792,chr15,65500000,1752
chr15,6.6e+07,2463,chr15,6.6e+07,2540
chr15,66500000,2854,chr15,66500000,3015
chr15,6.7e+07,2812,chr15,6.7e+07,3142
chr15,67500000,2614,chr15,67500000,3123
chr15,6.8e+07,1739,chr15,6.8e+07,1928
chr15,68500000,3010,chr15,68500000,3300
chr15,6.9e+07,2631,chr15,6.9e+07,2899
chr15,69500000,2510,chr15,69500000,2693
chr15,7e+07,1934,chr15,7e+07,1916
chr15,70500000,1646,chr15,70500000,1663
chr15,7.1e+07,2120,chr15,7.1e+07,2191
chr15,71500000,1887,chr15,71500000,1833
chr15,7.2e+07,2569,chr15,7.2e+07,2700
chr15,72500000,2665,chr15,72500000,2961
chr15,7.3e+07,3721,chr15,7.3e+07,4407
chr15,73500000,3883,chr15,73500000,4523
chr15,7.4e+07,4109,chr15,7.4e+07,5165
chr15,74500000,3977,chr15,74500000,4859
chr15,7.5e+07,3450,chr15,7.5e+07,4337
chr15,75500000,1929,chr15,75500000,2150
chr15,7.6e+07,4636,chr15,7.6e+07,5735
chr15,76500000,5141,chr15,76500000,6718
chr15,7.7e+07,4626,chr15,7.7e+07,5984
chr15,77500000,3427,chr15,77500000,3973
chr15,7.8e+07,3680,chr15,7.8e+07,4354
chr15,78500000,3763,chr15,78500000,4567
chr15,7.9e+07,3433,chr15,7.9e+07,4805
chr15,79500000,3942,chr15,79500000,5168
chr15,8e+07,3579,chr15,8e+07,4499
chr15,80500000,3608,chr15,80500000,5024
chr15,8.1e+07,4153,chr15,8.1e+07,5053
chr15,81500000,3957,chr15,81500000,4891
chr15,8.2e+07,4228,chr15,8.2e+07,5034
chr15,82500000,4534,chr15,82500000,5355
chr15,8.3e+07,2958,chr15,8.3e+07,3423
chr15,83500000,4288,chr15,83500000,4917
chr15,8.4e+07,4482,chr15,8.4e+07,5649
chr15,84500000,4377,chr15,84500000,5437
chr15,8.5e+07,4053,chr15,8.5e+07,5015
chr15,85500000,4014,chr15,85500000,4844
chr15,8.6e+07,4011,chr15,8.6e+07,5339
chr15,86500000,4115,chr15,86500000,5470
chr15,8.7e+07,3480,chr15,8.7e+07,4168
chr15,87500000,3604,chr15,87500000,4256
chr15,8.8e+07,3622,chr15,8.8e+07,4396
chr15,88500000,3696,chr15,88500000,4356
chr15,8.9e+07,4467,chr15,8.9e+07,5601
